1 3 7	0.9651947	0.026540873	0.9917355
1 3 8	0.9651947	0.026540873	0.9917355
1 3 9	0.9651947	0.026540873	0.9917355
1 3 10	0.9651947	0.026540873	0.9917355
1 3 11	0.9651947	0.026540873	0.9917355
1 3 12	0.9651947	0.026540873	0.9917355
1 3 13	0.9651947	0.026540873	0.9917355
1 3 14	0.9651947	0.026540873	0.9917355
1 3 15	0.9651947	0.026540873	0.9917355
1 3 16	0.9651947	0.026540873	0.9917355
1 3 17	0.9651947	0.026540873	0.9917355
1 3 18	0.9651947	0.026540873	0.9917355
1 3 19	0.9651947	0.026540873	0.9917355
1 3 20	0.9651947	0.026540873	0.9917355
1 4 1	0.9470159	0.044719609	0.9917355
1 4 2	0.9470159	0.044719609	0.9917355
1 4 3	0.9470159	0.044719609	0.9917355
1 4 4	0.9470159	0.044719609	0.9917355
1 4 5	0.9470159	0.044719609	0.9917355
1 4 6	0.9470159	0.044719609	0.9917355
1 4 7	0.9470159	0.044719609	0.9917355
1 4 8	0.9470159	0.044719609	0.9917355
1 4 9	0.9470159	0.044719609	0.9917355
1 4 10	0.9470159	0.044719609	0.9917355
1 4 11	0.9470159	0.044719609	0.9917355
1 4 12	0.9470159	0.044719609	0.9917355
1 4 13	0.9470159	0.044719609	0.9917355
1 4 14	0.9470159	0.044719609	0.9917355
1 4 15	0.9470159	0.044719609	0.9917355
1 4 16	0.9470159	0.044719609	0.9917355
1 4 17	0.9470159	0.044719609	0.9917355
1 4 18	0.9470159	0.044719609	0.9917355
1 4 19	0.9470159	0.044719609	0.9917355
1 4 20	0.9470159	0.044719609	0.9917355
1 5 1	0.9263686	0.065366929	0.9917355
1 5 2	0.9263686	0.065366929	0.9917355
1 5 3	0.9263686	0.065366929	0.9917355
1 5 4	0.9263686	0.065366929	0.9917355
1 5 5	0.9263686	0.065366929	0.9917355
1 5 6	0.9263686	0.065366929	0.9917355
1 5 7	0.9263686	0.065366929	0.9917355
1 5 8	0.9263686	0.065366929	0.9917355
1 5 9	0.9263686	0.065366929	0.9917355
1 5 10	0.9263686	0.065366929	0.9917355
1 5 11	0.9263686	0.065366929	0.9917355
1 5 12	0.9263686	0.065366929	0.9917355
1 5 13	0.9263686	0.065366929	0.9917355
1 5 14	0.9263686	0.065366929	0.9917355
1 5 15	0.9263686	0.065366929	0.9917355
1 5 16	0.9263686	0.065366929	0.9917355
1 5 17	0.9263686	0.065366929	0.9917355
1 5 18	0.9263686	0.065366929	0.9917355
1 5 19	0.9263686	0.065366929	0.9917355
1 5 20	0.9263686	0.065366929	0.9917355
1 6 1	0.9046999	0.087035642	0.9917355
1 6 2	0.9046999	0.087035642	0.9917355
1 6 3	0.9046999	0.087035642	0.9917355
1 6 4	0.9046999	0.087035642	0.9917355
1 6 5	0.9046999	0.087035642	0.9917355
1 6 6	0.9046999	0.087035642	0.9917355
1 6 7	0.9046999	0.087035642	0.9917355
1 6 8	0.9046999	0.087035642	0.9917355
1 6 9	0.9046999	0.087035642	0.9917355
1 6 10	0.9046999	0.087035642	0.9917355
1 6 11	0.9046999	0.087035642	0.9917355
1 6 12	0.9046999	0.087035642	0.9917355
1 6 13	0.9046999	0.087035642	0.9917355
1 6 14	0.9046999	0.087035642	0.9917355
1 6 15	0.9046999	0.087035642	0.9917355
1 6 16	0.9046999	0.087035642	0.9917355
1 6 17	0.9046999	0.087035642	0.9917355
1 6 18	0.9046999	0.087035642	0.9917355
1 6 19	0.9046999	0.087035642	0.9917355
1 6 20	0.9046999	0.087035642	0.9917355
1 7 1	0.8833607	0.108374830	0.9917355
1 7 2	0.8833607	0.108374830	0.9917355
1 7 3	0.8833607	0.108374830	0.9917355
1 7 4	0.8833607	0.108374830	0.9917355
1 7 5	0.8833607	0.108374830	0.9917355
1 7 6	0.8833607	0.108374830	0.9917355
1 7 7	0.8833607	0.108374830	0.9917355
1 7 8	0.8833607	0.108374830	0.9917355
1 7 9	0.8833607	0.108374830	0.9917355
1 7 10	0.8833607	0.108374830	0.9917355
1 7 11	0.8833607	0.108374830	0.9917355
1 7 12	0.8833607	0.108374830	0.9917355
1 7 13	0.8833607	0.108374830	0.9917355
1 7 14	0.8833607	0.108374830	0.9917355
1 7 15	0.8833607	0.108374830	0.9917355
1 7 16	0.8833607	0.108374830	0.9917355
1 7 17	0.8833607	0.108374830	0.9917355
1 7 18	0.8833607	0.108374830	0.9917355
1 7 19	0.8833607	0.108374830	0.9917355
1 7 20	0.8833607	0.108374830	0.9917355
1 8 1	0.8635572	0.128178293	0.9917355
1 8 2	0.8635572	0.128178293	0.9917355
1 8 3	0.8635572	0.128178293	0.9917355
1 8 4	0.8635572	0.128178293	0.9917355
1 8 5	0.8635572	0.128178293	0.9917355
1 8 6	0.8635572	0.128178293	0.9917355
1 8 7	0.8635572	0.128178293	0.9917355
1 8 8	0.8635572	0.128178293	0.9917355
1 8 9	0.8635572	0.128178293	0.9917355
1 8 10	0.8635572	0.128178293	0.9917355
1 8 11	0.8635572	0.128178293	0.9917355
1 8 12	0.8635572	0.128178293	0.9917355
1 8 13	0.8635572	0.128178293	0.9917355
1 8 14	0.8635572	0.128178293	0.9917355
1 8 15	0.8635572	0.128178293	0.9917355
1 8 16	0.8635572	0.128178293	0.9917355
1 8 17	0.8635572	0.128178293	0.9917355
1 8 18	0.8635572	0.128178293	0.9917355
1 8 19	0.8635572	0.128178293	0.9917355
1 8 20	0.8635572	0.128178293	0.9917355
1 9 1	0.8463420	0.145393519	0.9917355
1 9 2	0.8463420	0.145393519	0.9917355
1 9 3	0.8463420	0.145393519	0.9917355
1 9 4	0.8463420	0.145393519	0.9917355
1 9 5	0.8463420	0.145393519	0.9917355
1 9 6	0.8463420	0.145393519	0.9917355
1 9 7	0.8463420	0.145393519	0.9917355
1 9 8	0.8463420	0.145393519	0.9917355
1 9 9	0.8463420	0.145393519	0.9917355
1 9 10	0.8463420	0.145393519	0.9917355
1 9 11	0.8463420	0.145393519	0.9917355
1 9 12	0.8463420	0.145393519	0.9917355
1 9 13	0.8463420	0.145393519	0.9917355
1 9 14	0.8463420	0.145393519	0.9917355
1 9 15	0.8463420	0.145393519	0.9917355
1 9 16	0.8463420	0.145393519	0.9917355
1 9 17	0.8463420	0.145393519	0.9917355
1 9 18	0.8463420	0.145393519	0.9917355
1 9 19	0.8463420	0.145393519	0.9917355
1 9 20	0.8463420	0.145393519	0.9917355
1 10 1	0.8326218	0.159113739	0.9917355
1 10 2	0.8326218	0.159113739	0.9917355
1 10 3	0.8326218	0.159113739	0.9917355
1 10 4	0.8326218	0.159113739	0.9917355
1 10 5	0.8326218	0.159113739	0.9917355
1 10 6	0.8326218	0.159113739	0.9917355
1 10 7	0.8326218	0.159113739	0.9917355
1 10 8	0.8326218	0.159113739	0.9917355
1 10 9	0.8326218	0.159113739	0.9917355
1 10 10	0.8326218	0.159113739	0.9917355
1 10 11	0.8326218	0.159113739	0.9917355
1 10 12	0.8326218	0.159113739	0.9917355
1 10 13	0.8326218	0.159113739	0.9917355
1 10 14	0.8326218	0.159113739	0.9917355
1 10 15	0.8326218	0.159113739	0.9917355
1 10 16	0.8326218	0.159113739	0.9917355
1 10 17	0.8326218	0.159113739	0.9917355
1 10 18	0.8326218	0.159113739	0.9917355
1 10 19	0.8326218	0.159113739	0.9917355
1 10 20	0.8326218	0.159113739	0.9917355
1 11 1	0.8231649	0.168570599	0.9917355
1 11 2	0.8231649	0.168570599	0.9917355
1 11 3	0.8231649	0.168570599	0.9917355
1 11 4	0.8231649	0.168570599	0.9917355
1 11 5	0.8231649	0.168570599	0.9917355
1 11 6	0.8231649	0.168570599	0.9917355
1 11 7	0.8231649	0.168570599	0.9917355
1 11 8	0.8231649	0.168570599	0.9917355
1 11 9	0.8231649	0.168570599	0.9917355
1 11 10	0.8231649	0.168570599	0.9917355
1 11 11	0.8231649	0.168570599	0.9917355
1 11 12	0.8231649	0.168570599	0.9917355
1 11 13	0.8231649	0.168570599	0.9917355
1 11 14	0.8231649	0.168570599	0.9917355
1 11 15	0.8231649	0.168570599	0.9917355
1 11 16	0.8231649	0.168570599	0.9917355
1 11 17	0.8231649	0.168570599	0.9917355
1 11 18	0.8231649	0.168570599	0.9917355
1 11 19	0.8231649	0.168570599	0.9917355
1 11 20	0.8231649	0.168570599	0.9917355
1 12 1	0.8185970	0.173138587	0.9917355
1 12 2	0.8185970	0.173138587	0.9917355
1 12 3	0.8185970	0.173138587	0.9917355
1 12 4	0.8185970	0.173138587	0.9917355
1 12 5	0.8185970	0.173138587	0.9917355
1 12 6	0.8185970	0.173138587	0.9917355
1 12 7	0.8185970	0.173138587	0.9917355
1 12 8	0.8185970	0.173138587	0.9917355
1 12 9	0.8185970	0.173138587	0.9917355
1 12 10	0.8185970	0.173138587	0.9917355
1 12 11	0.8185970	0.173138587	0.9917355
1 12 12	0.8185970	0.173138587	0.9917355
1 12 13	0.8185970	0.173138587	0.9917355
1 12 14	0.8185970	0.173138587	0.9917355
1 12 15	0.8185970	0.173138587	0.9917355
1 12 16	0.8185970	0.173138587	0.9917355
1 12 17	0.8185970	0.173138587	0.9917355
1 12 18	0.8185970	0.173138587	0.9917355
1 12 19	0.8185970	0.173138587	0.9917355
1 12 20	0.8185970	0.173138587	0.9917355
1 13 1	0.8193792	0.172356366	0.9917355
1 13 2	0.8193792	0.172356366	0.9917355
1 13 3	0.8193792	0.172356366	0.9917355
1 13 4	0.8193792	0.172356366	0.9917355
1 13 5	0.8193792	0.172356366	0.9917355
1 13 6	0.8193792	0.172356366	0.9917355
1 13 7	0.8193792	0.172356366	0.9917355
1 13 8	0.8193792	0.172356366	0.9917355
1 13 9	0.8193792	0.172356366	0.9917355
1 13 10	0.8193792	0.172356366	0.9917355
1 13 11	0.8193792	0.172356366	0.9917355
1 13 12	0.8193792	0.172356366	0.9917355
1 13 13	0.8193792	0.172356366	0.9917355
1 13 14	0.8193792	0.172356366	0.9917355
1 13 15	0.8193792	0.172356366	0.9917355
1 13 16	0.8193792	0.172356366	0.9917355
1 13 17	0.8193792	0.172356366	0.9917355
1 13 18	0.8193792	0.172356366	0.9917355
1 13 19	0.8193792	0.172356366	0.9917355
1 13 20	0.8193792	0.172356366	0.9917355
1 14 1	0.8257713	0.165964264	0.9917355
1 14 2	0.8257713	0.165964264	0.9917355
1 14 3	0.8257713	0.165964264	0.9917355
1 14 4	0.8257713	0.165964264	0.9917355
1 14 5	0.8257713	0.165964264	0.9917355
1 14 6	0.8257713	0.165964264	0.9917355
1 14 7	0.8257713	0.165964264	0.9917355
1 14 8	0.8257713	0.165964264	0.9917355
1 14 9	0.8257713	0.165964264	0.9917355
1 14 10	0.8257713	0.165964264	0.9917355
1 14 11	0.8257713	0.165964264	0.9917355
1 14 12	0.8257713	0.165964264	0.9917355
1 14 13	0.8257713	0.165964264	0.9917355
1 14 14	0.8257713	0.165964264	0.9917355
1 14 15	0.8257713	0.165964264	0.9917355
1 14 16	0.8257713	0.165964264	0.9917355
1 14 17	0.8257713	0.165964264	0.9917355
1 14 18	0.8257713	0.165964264	0.9917355
1 14 19	0.8257713	0.165964264	0.9917355
1 14 20	0.8257713	0.165964264	0.9917355
1 15 1	0.8377844	0.153951139	0.9917355
1 15 2	0.8377844	0.153951139	0.9917355
1 15 3	0.8377844	0.153951139	0.9917355
1 15 4	0.8377844	0.153951139	0.9917355
1 15 5	0.8377844	0.153951139	0.9917355
1 15 6	0.8377844	0.153951139	0.9917355
1 15 7	0.8377844	0.153951139	0.9917355
1 15 8	0.8377844	0.153951139	0.9917355
1 15 9	0.8377844	0.153951139	0.9917355
1 15 10	0.8377844	0.153951139	0.9917355
1 15 11	0.8377844	0.153951139	0.9917355
1 15 12	0.8377844	0.153951139	0.9917355
1 15 13	0.8377844	0.153951139	0.9917355
1 15 14	0.8377844	0.153951139	0.9917355
1 15 15	0.8377844	0.153951139	0.9917355
1 15 16	0.8377844	0.153951139	0.9917355
1 15 17	0.8377844	0.153951139	0.9917355
1 15 18	0.8377844	0.153951139	0.9917355
1 15 19	0.8377844	0.153951139	0.9917355
1 15 20	0.8377844	0.153951139	0.9917355
1 16 1	0.8551374	0.136598139	0.9917355
1 16 2	0.8551374	0.136598139	0.9917355
1 16 3	0.8551374	0.136598139	0.9917355
1 16 4	0.8551374	0.136598139	0.9917355
1 16 5	0.8551374	0.136598139	0.9917355
1 16 6	0.8551374	0.136598139	0.9917355
1 16 7	0.8551374	0.136598139	0.9917355
1 16 8	0.8551374	0.136598139	0.9917355
1 16 9	0.8551374	0.136598139	0.9917355
1 16 10	0.8551374	0.136598139	0.9917355
1 16 11	0.8551374	0.136598139	0.9917355
1 16 12	0.8551374	0.136598139	0.9917355
1 16 13	0.8551374	0.136598139	0.9917355
1 16 14	0.8551374	0.136598139	0.9917355
1 16 15	0.8551374	0.136598139	0.9917355
1 16 16	0.8551374	0.136598139	0.9917355
1 16 17	0.8551374	0.136598139	0.9917355
1 16 18	0.8551374	0.136598139	0.9917355
1 16 19	0.8551374	0.136598139	0.9917355
1 16 20	0.8551374	0.136598139	0.9917355
1 17 1	0.8772324	0.114503138	0.9917355
1 17 2	0.8772324	0.114503138	0.9917355
1 17 3	0.8772324	0.114503138	0.9917355
1 17 4	0.8772324	0.114503138	0.9917355
1 17 5	0.8772324	0.114503138	0.9917355
1 17 6	0.8772324	0.114503138	0.9917355
1 17 7	0.8772324	0.114503138	0.9917355
1 17 8	0.8772324	0.114503138	0.9917355
1 17 9	0.8772324	0.114503138	0.9917355
1 17 10	0.8772324	0.114503138	0.9917355
1 17 11	0.8772324	0.114503138	0.9917355
1 17 12	0.8772324	0.114503138	0.9917355
1 17 13	0.8772324	0.114503138	0.9917355
1 17 14	0.8772324	0.114503138	0.9917355
1 17 15	0.8772324	0.114503138	0.9917355
1 17 16	0.8772324	0.114503138	0.9917355
1 17 17	0.8772324	0.114503138	0.9917355
1 17 18	0.8772324	0.114503138	0.9917355
1 17 19	0.8772324	0.114503138	0.9917355
1 17 20	0.8772324	0.114503138	0.9917355
1 18 1	0.9031651	0.088570440	0.9917355
1 18 2	0.9031651	0.088570440	0.9917355
1 18 3	0.9031651	0.088570440	0.9917355
1 18 4	0.9031651	0.088570440	0.9917355
1 18 5	0.9031651	0.088570440	0.9917355
1 18 6	0.9031651	0.088570440	0.9917355
1 18 7	0.9031651	0.088570440	0.9917355
1 18 8	0.9031651	0.088570440	0.9917355
1 18 9	0.9031651	0.088570440	0.9917355
1 18 10	0.9031651	0.088570440	0.9917355
1 18 11	0.9031651	0.088570440	0.9917355
1 18 12	0.9031651	0.088570440	0.9917355
1 18 13	0.9031651	0.088570440	0.9917355
1 18 14	0.9031651	0.088570440	0.9917355
1 18 15	0.9031651	0.088570440	0.9917355
1 18 16	0.9031651	0.088570440	0.9917355
1 18 17	0.9031651	0.088570440	0.9917355
1 18 18	0.9031651	0.088570440	0.9917355
1 18 19	0.9031651	0.088570440	0.9917355
1 18 20	0.9031651	0.088570440	0.9917355
1 19 1	0.9317783	0.059957216	0.9917355
1 19 2	0.9317783	0.059957216	0.9917355
1 19 3	0.9317783	0.059957216	0.9917355
1 19 4	0.9317783	0.059957216	0.9917355
1 19 5	0.9317783	0.059957216	0.9917355
1 19 6	0.9317783	0.059957216	0.9917355
1 19 7	0.9317783	0.059957216	0.9917355
1 19 8	0.9317783	0.059957216	0.9917355
1 19 9	0.9317783	0.059957216	0.9917355
1 19 10	0.9317783	0.059957216	0.9917355
1 19 11	0.9317783	0.059957216	0.9917355
1 19 12	0.9317783	0.059957216	0.9917355
1 19 13	0.9317783	0.059957216	0.9917355
1 19 14	0.9317783	0.059957216	0.9917355
1 19 15	0.9317783	0.059957216	0.9917355
1 19 16	0.9317783	0.059957216	0.9917355
1 19 17	0.9317783	0.059957216	0.9917355
1 19 18	0.9317783	0.059957216	0.9917355
1 19 19	0.9317783	0.059957216	0.9917355
1 19 20	0.9317783	0.059957216	0.9917355
1 20 1	0.9617552	0.029980316	0.9917355
1 20 2	0.9617552	0.029980316	0.9917355
1 20 3	0.9617552	0.029980316	0.9917355
1 20 4	0.9617552	0.029980316	0.9917355
1 20 5	0.9617552	0.029980316	0.9917355
1 20 6	0.9617552	0.029980316	0.9917355
1 20 7	0.9617552	0.029980316	0.9917355
1 20 8	0.9617552	0.029980316	0.9917355
1 20 9	0.9617552	0.029980316	0.9917355
1 20 10	0.9617552	0.029980316	0.9917355
1 20 11	0.9617552	0.029980316	0.9917355
1 20 12	0.9617552	0.029980316	0.9917355
1 20 13	0.9617552	0.029980316	0.9917355
1 20 14	0.9617552	0.029980316	0.9917355
1 20 15	0.9617552	0.029980316	0.9917355
1 20 16	0.9617552	0.029980316	0.9917355
1 20 17	0.9617552	0.029980316	0.9917355
1 20 18	0.9617552	0.029980316	0.9917355
1 20 19	0.9617552	0.029980316	0.9917355
1 20 20	0.9617552	0.029980316	0.9917355
1 21 1	0.0000000	0.000000000	0.9917355
1 21 2	0.0000000	0.000000000	0.9917355
1 21 3	0.0000000	0.000000000	0.9917355
1 21 4	0.0000000	0.000000000	0.9917355
1 21 5	0.0000000	0.000000000	0.9917355
1 21 6	0.0000000	0.000000000	0.9917355
1 21 7	0.0000000	0.000000000	0.9917355
1 21 8	0.0000000	0.000000000	0.9917355
1 21 9	0.0000000	0.000000000	0.9917355
1 21 10	0.0000000	0.000000000	0.9917355
1 21 11	0.0000000	0.000000000	0.9917355
1 21 12	0.0000000	0.000000000	0.9917355
1 21 13	0.0000000	0.000000000	0.9917355
1 21 14	0.0000000	0.000000000	0.9917355
1 21 15	0.0000000	0.000000000	0.9917355
1 21 16	0.0000000	0.000000000	0.9917355
1 21 17	0.0000000	0.000000000	0.9917355
1 21 18	0.0000000	0.000000000	0.9917355
1 21 19	0.0000000	0.000000000	0.9917355
1 21 20	0.0000000	0.000000000	0.9917355
1 22 1	0.0000000	0.000000000	0.9917355
1 22 2	0.0000000	0.000000000	0.9917355
1 22 3	0.0000000	0.000000000	0.9917355
1 22 4	0.0000000	0.000000000	0.9917355
1 22 5	0.0000000	0.000000000	0.9917355
1 22 6	0.0000000	0.000000000	0.9917355
1 22 7	0.0000000	0.000000000	0.9917355
1 22 8	0.0000000	0.000000000	0.9917355
1 22 9	0.0000000	0.000000000	0.9917355
1 22 10	0.0000000	0.000000000	0.9917355
1 22 11	0.0000000	0.000000000	0.9917355
1 22 12	0.0000000	0.000000000	0.9917355
1 22 13	0.0000000	0.000000000	0.9917355
1 22 14	0.0000000	0.000000000	0.9917355
1 22 15	0.0000000	0.000000000	0.9917355
1 22 16	0.0000000	0.000000000	0.9917355
1 22 17	0.0000000	0.000000000	0.9917355
1 22 18	0.0000000	0.000000000	0.9917355
1 22 19	0.0000000	0.000000000	0.9917355
1 22 20	0.0000000	0.000000000	0.9917355
1 23 1	0.9648434	0.026892124	0.9917355
1 23 2	0.9648434	0.026892124	0.9917355
1 23 3	0.9648434	0.026892124	0.9917355
1 23 4	0.9648434	0.026892124	0.9917355
1 23 5	0.9648434	0.026892124	0.9917355
1 23 6	0.9648434	0.026892124	0.9917355
1 23 7	0.9648434	0.026892124	0.9917355
1 23 8	0.9648434	0.026892124	0.9917355
1 23 9	0.9648434	0.026892124	0.9917355
1 23 10	0.9648434	0.026892124	0.9917355
1 23 11	0.9648434	0.026892124	0.9917355
1 23 12	0.9648434	0.026892124	0.9917355
1 23 13	0.9648434	0.026892124	0.9917355
1 23 14	0.9648434	0.026892124	0.9917355
1 23 15	0.9648434	0.026892124	0.9917355
1 23 16	0.9648434	0.026892124	0.9917355
1 23 17	0.9648434	0.026892124	0.9917355
1 23 18	0.9648434	0.026892124	0.9917355
1 23 19	0.9648434	0.026892124	0.9917355
1 23 20	0.9648434	0.026892124	0.9917355
1 24 1	0.9407512	0.050984308	0.9917355
1 24 2	0.9407512	0.050984308	0.9917355
1 24 3	0.9407512	0.050984308	0.9917355
1 24 4	0.9407512	0.050984308	0.9917355
1 24 5	0.9407512	0.050984308	0.9917355
1 24 6	0.9407512	0.050984308	0.9917355
1 24 7	0.9407512	0.050984308	0.9917355
1 24 8	0.9407512	0.050984308	0.9917355
1 24 9	0.9407512	0.050984308	0.9917355
1 24 10	0.9407512	0.050984308	0.9917355
1 24 11	0.9407512	0.050984308	0.9917355
1 24 12	0.9407512	0.050984308	0.9917355
1 24 13	0.9407512	0.050984308	0.9917355
1 24 14	0.9407512	0.050984308	0.9917355
1 24 15	0.9407512	0.050984308	0.9917355
1 24 16	0.9407512	0.050984308	0.9917355
1 24 17	0.9407512	0.050984308	0.9917355
1 24 18	0.9407512	0.050984308	0.9917355
1 24 19	0.9407512	0.050984308	0.9917355
1 24 20	0.9407512	0.050984308	0.9917355
1 25 1	0.9202396	0.071495928	0.9917355
1 25 2	0.9202396	0.071495928	0.9917355
1 25 3	0.9202396	0.071495928	0.9917355
1 25 4	0.9202396	0.071495928	0.9917355
1 25 5	0.9202396	0.071495928	0.9917355
1 25 6	0.9202396	0.071495928	0.9917355
1 25 7	0.9202396	0.071495928	0.9917355
1 25 8	0.9202396	0.071495928	0.9917355
1 25 9	0.9202396	0.071495928	0.9917355
1 25 10	0.9202396	0.071495928	0.9917355
1 25 11	0.9202396	0.071495928	0.9917355
1 25 12	0.9202396	0.071495928	0.9917355
1 25 13	0.9202396	0.071495928	0.9917355
1 25 14	0.9202396	0.071495928	0.9917355
1 25 15	0.9202396	0.071495928	0.9917355
1 25 16	0.9202396	0.071495928	0.9917355
1 25 17	0.9202396	0.071495928	0.9917355
1 25 18	0.9202396	0.071495928	0.9917355
1 25 19	0.9202396	0.071495928	0.9917355
1 25 20	0.9202396	0.071495928	0.9917355
1 26 1	0.9038584	0.087877148	0.9917355
1 26 2	0.9038584	0.087877148	0.9917355
1 26 3	0.9038584	0.087877148	0.9917355
1 26 4	0.9038584	0.087877148	0.9917355
1 26 5	0.9038584	0.087877148	0.9917355
1 26 6	0.9038584	0.087877148	0.9917355
1 26 7	0.9038584	0.087877148	0.9917355
1 26 8	0.9038584	0.087877148	0.9917355
1 26 9	0.9038584	0.087877148	0.9917355
1 26 10	0.9038584	0.087877148	0.9917355
1 26 11	0.9038584	0.087877148	0.9917355
1 26 12	0.9038584	0.087877148	0.9917355
1 26 13	0.9038584	0.087877148	0.9917355
1 26 14	0.9038584	0.087877148	0.9917355
1 26 15	0.9038584	0.087877148	0.9917355
1 26 16	0.9038584	0.087877148	0.9917355
1 26 17	0.9038584	0.087877148	0.9917355
1 26 18	0.9038584	0.087877148	0.9917355
1 26 19	0.9038584	0.087877148	0.9917355
1 26 20	0.9038584	0.087877148	0.9917355
1 27 1	0.8919321	0.099803439	0.9917355
1 27 2	0.8919321	0.099803439	0.9917355
1 27 3	0.8919321	0.099803439	0.9917355
1 27 4	0.8919321	0.099803439	0.9917355
1 27 5	0.8919321	0.099803439	0.9917355
1 27 6	0.8919321	0.099803439	0.9917355
1 27 7	0.8919321	0.099803439	0.9917355
1 27 8	0.8919321	0.099803439	0.9917355
1 27 9	0.8919321	0.099803439	0.9917355
1 27 10	0.8919321	0.099803439	0.9917355
1 27 11	0.8919321	0.099803439	0.9917355
1 27 12	0.8919321	0.099803439	0.9917355
1 27 13	0.8919321	0.099803439	0.9917355
1 27 14	0.8919321	0.099803439	0.9917355
1 27 15	0.8919321	0.099803439	0.9917355
1 27 16	0.8919321	0.099803439	0.9917355
1 27 17	0.8919321	0.099803439	0.9917355
1 27 18	0.8919321	0.099803439	0.9917355
1 27 19	0.8919321	0.099803439	0.9917355
1 27 20	0.8919321	0.099803439	0.9917355
1 28 1	0.8845756	0.107159949	0.9917355
1 28 2	0.8845756	0.107159949	0.9917355
1 28 3	0.8845756	0.107159949	0.9917355
1 28 4	0.8845756	0.107159949	0.9917355
1 28 5	0.8845756	0.107159949	0.9917355
1 28 6	0.8845756	0.107159949	0.9917355
1 28 7	0.8845756	0.107159949	0.9917355
1 28 8	0.8845756	0.107159949	0.9917355
1 28 9	0.8845756	0.107159949	0.9917355
1 28 10	0.8845756	0.107159949	0.9917355
1 28 11	0.8845756	0.107159949	0.9917355
1 28 12	0.8845756	0.107159949	0.9917355
1 28 13	0.8845756	0.107159949	0.9917355
1 28 14	0.8845756	0.107159949	0.9917355
1 28 15	0.8845756	0.107159949	0.9917355
1 28 16	0.8845756	0.107159949	0.9917355
1 28 17	0.8845756	0.107159949	0.9917355
1 28 18	0.8845756	0.107159949	0.9917355
1 28 19	0.8845756	0.107159949	0.9917355
1 28 20	0.8845756	0.107159949	0.9917355
1 29 1	0.8817123	0.110023255	0.9917355
1 29 2	0.8817123	0.110023255	0.9917355
1 29 3	0.8817123	0.110023255	0.9917355
1 29 4	0.8817123	0.110023255	0.9917355
1 29 5	0.8817123	0.110023255	0.9917355
1 29 6	0.8817123	0.110023255	0.9917355
1 29 7	0.8817123	0.110023255	0.9917355
1 29 8	0.8817123	0.110023255	0.9917355
1 29 9	0.8817123	0.110023255	0.9917355
1 29 10	0.8817123	0.110023255	0.9917355
1 29 11	0.8817123	0.110023255	0.9917355
1 29 12	0.8817123	0.110023255	0.9917355
1 29 13	0.8817123	0.110023255	0.9917355
1 29 14	0.8817123	0.110023255	0.9917355
1 29 15	0.8817123	0.110023255	0.9917355
1 29 16	0.8817123	0.110023255	0.9917355
1 29 17	0.8817123	0.110023255	0.9917355
1 29 18	0.8817123	0.110023255	0.9917355
1 29 19	0.8817123	0.110023255	0.9917355
1 29 20	0.8817123	0.110023255	0.9917355
1 30 1	0.8830914	0.108644183	0.9917355
1 30 2	0.8830914	0.108644183	0.9917355
1 30 3	0.8830914	0.108644183	0.9917355
